full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,bmi
Ed Davis,77,#17,Utah Jazz,F,1989-06-05,2.06,97.5,4767000,USA,2010,1,13,North Carolina,NBA2k20,22.975775285135263
Taj Gibson,77,#67,New York Knicks,F,1985-06-24,2.06,102.1,9000000,USA,2009,1,26,USC,NBA2k20,24.05976058063908
Jerami Grant,77,#9,Denver Nuggets,F,1994-03-12,2.03,97.1,9346153,USA,2014,2,39,Syracuse,NBA2k20,23.56281394840933
Danny Green,77,#14,Los Angeles Lakers,G,1987-06-22,1.98,94.8,14634147,USA,2009,2,46,North Carolina,NBA2k20,24.181205999387817
Tim Hardaway Jr,77,#11,Dallas Mavericks,G,1992-03-16,1.96,90.3,20025127,USA,2013,1,24,Michigan,NBA2k20,23.505830903790088
Alex Len,77,#0,Sacramento Kings,C,1993-06-16,2.13,102.1,4160000,Ukraine,2013,1,5,Maryland,NBA2k20,22.50435319270868
Kevon Looney,77,#5,Golden State Warriors,F,1996-02-06,2.06,100.7,4464286,USA,2015,1,30,UCLA,NBA2k20,23.72985201244227
Monte Morris,77,#11,Denver Nuggets,G,1995-06-27,1.88,79.4,1588231,USA,2017,2,51,Iowa State,NBA2k20,22.464916251697606
Nerlens Noel,77,#9,Oklahoma City Thunder,F-C,1994-04-10,2.08,93.4,1882867,USA,2013,1,6,Kentucky,NBA2k20,21.588387573964496
Mason Plumlee,77,#24,Denver Nuggets,C-F,1990-03-05,2.11,108.0,14041096,USA,2013,1,22,Duke,NBA2k20,24.258215224276185
Jakob Poeltl,77,#25,San Antonio Spurs,C-F,1995-10-15,2.16,108.4,3754885,Austria,2016,1,9,Utah,NBA2k20,23.233882030178325
Dwight Powell,77,#7,Dallas Mavericks,F-C,1991-07-20,2.08,106.1,10259375,Canada,2014,2,45,Stanford,NBA2k20,24.523853550295854
Taurean Prince,77,#2,Brooklyn Nets,F,1994-03-22,2.01,99.8,3481985,USA,2016,1,12,Baylor,NBA2k20,24.702358852503657
Dario Saric,77,#20,Phoenix Suns,F,1994-04-08,2.08,98.0,3481985,Croatia,2014,1,12,missing_,NBA2k20,22.65162721893491
Collin Sexton,77,#2,Cleveland Cavaliers,G,1999-01-04,1.85,86.2,4764960,USA,2018,1,8,Alabama,NBA2k20,25.18626734842951
Dennis Smith,77,#5,New York Knicks,G,1997-11-25,1.88,88.5,4463640,USA,2017,1,9,NC State,NBA2k20,25.039610683567226
Cody Zeller,77,#40,Charlotte Hornets,C-F,1992-10-05,2.13,104.3,14471910,USA,2013,1,4,Indiana,NBA2k20,22.989265798232275
Ivica Zubac,77,#40,Los Angeles Clippers,C,1997-03-18,2.13,120.2,6481482,Croatia,2016,2,32,missing_,NBA2k20,26.493861447243717
Jarrett Culver,77,#23,Minnesota Timberwolves,G,1999-02-20,1.98,88.5,5813640,USA,2019,1,6,Texas Tech,NBA2k20,22.574227119681666
Willy Hernangomez,76,#9,Charlotte Hornets,C-F,1994-05-27,2.11,115.7,1676735,Spain,2015,2,35,missing_,NBA2k20,25.987736124525508
Trevor Ariza,76,#0,Portland Trail Blazers,F-G,1985-06-30,2.03,95.3,12200000,USA,2004,2,43,UCLA,NBA2k20,23.12601616151812
DJ Augustin,76,#14,Orlando Magic,G,1987-11-10,1.8,81.6,7250000,USA,2008,1,9,Texas,NBA2k20,25.185185185185183
Jose Juan Barea,76,#5,Dallas Mavericks,G,1984-06-26,1.78,79.4,2564753,Puerto Rico,2006,0,0,Northeastern,NBA2k20,25.059967175861633
Michael Beasley,76,#0,missing_,F,1989-01-09,2.08,106.6,3500000,USA,2008,1,2,Kansas State,NBA2k20,24.639423076923073
Davis Bertans,76,#42,Washington Wizards,F,1992-11-12,2.08,95.7,7000000,Latvia,2011,2,42,missing_,NBA2k20,22.1200073964497
Avery Bradley,76,#11,Los Angeles Lakers,G,1990-11-26,1.91,88.5,6767000,USA,2010,1,19,Texas,NBA2k20,24.259203420958855
